tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
8407	Rana temporaria	120917577	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		11	NC_053499.1	120752259	120809664	plus	22		
8364	Xenopus tropicalis	734058	0	live	nxf1	mex67, tap	nuclear RNA export factor 1	nuclear RNA export factor 1		4	NC_030680.2	36493131	36532401	minus	23		
9598	Pan troglodytes	451267	0	live	NXF1	CK820_G0030982	nuclear RNA export factor 1	nuclear RNA export factor 1		9	NC_072407.2	65104305	65118449	minus	23		
9913	Bos taurus	512136	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		29	NC_037356.1	41099477	41110792	minus	22		
9615	Canis lupus familiaris	483780	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		18	NC_051822.1	54936964	54947631	plus	21		
9823	Sus scrofa	100628213	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		2	NC_010444.4	8968659	8983276	plus	22		
9685	Felis catus	101092292	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		D1	NC_058377.1	106310555	106321063	minus	21		
9796	Equus caballus	100049009	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1|Nuclear RNA export factor 1-like protein		12	NC_091695.1	40049477	40059491	minus	21		
9031	Gallus gallus	101748079	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		39	NW_024095974.1	33603	43038	minus	21		
9483	Callithrix jacchus	100399719	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1|nuclear RNA export factor 1-like protein		11	NC_071452.1	116844153	116860093	minus	22		
9541	Macaca fascicularis	101865792	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		14	NC_088388.1	11245847	11261160	plus	21		
9402	Pteropus alecto	102887246	0	live	NXF1	PAL_GLEAN10011461	nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_006435764.1	7215211	7225001	plus	21		
246437	Tupaia chinensis	102488446	0	live	NXF1	TREES_T100020891	nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_006160014.1	577636	595804	plus	21		
10181	Heterocephalus glaber	101699957	0	live	Nxf1	GW7_01787	nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_004624926.1	1247940	1268968	minus	21		
9669	Mustela putorius furo	101684398	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_025421288.1	8474139	8484629	minus	21		
31138	Trachemys scripta elegans	117881102	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		7	NC_048304.1	33320916	33330628	minus	21		
1415580	Microcaecilia unicolor	115479524	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		11	NC_044041.1	111426359	111646656	minus	21		
194408	Rhinatrema bivittatum	115098307	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		8	NC_042622.1	262856267	262970210	plus	21		
1026970	Nannospalax galili	103737663	0	live	Nxf1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_008341874.1	500699	513295	plus	21		
10036	Mesocricetus auratus	101827368	0	live	Nxf1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_024429182.1	50154542	50169485	minus	22		
9315	Notamacropus eugenii	140522174	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		2	NC_092873.1	15869362	15882530	minus	21		
30357	Pyxicephalus adspersus	140337804	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		9	NC_092866.1	38685121	38717934	minus	22		
76066	Engystomops pustulosus	140071131	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		7	NC_092417.1	155339241	155363278	plus	21		
9191	Agelaius tricolor	139586462	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_027269378.1	263645	272415	plus	9		
94852	Pituophis catenifer annectens	139322335	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_027256890.1	25846216	25871171	plus	22		
121349	Erythrolamprus reginae	139175206	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		13	NC_091962.1	10057391	10082704	plus	14		
159337	Myotis yumanensis	139018658	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_027223761.1	3521184	3531435	minus	21		
150705	Dendropsophus ebraccatus	138787984	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		4	NC_091457.1	28961087	29015659	plus	21		
33595	Phaenicophaeus curvirostris	138734614	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_027206743.1	8040	21737	minus	20		
8969	Haliaeetus albicilla	138690443	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		22	NC_091504.1	6492592	6501325	plus	21		
111125	Ranitomeya imitator	138648671	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		9	NC_091290.1	35606125	35668589	minus	21		
8296	Ambystoma mexicanum	138567183	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		2p	NC_090923.1	1121076609	1121614042	minus	21		
37174	Ovis canadensis	138426954	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		21	NC_091265.1	57457075	57469702	minus	21		
859984	Eulemur rufifrons	138384594	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		6	NC_090988.1	96186892	96197389	minus	21		
8319	Pleurodeles waltl	138259416	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		9	NC_090448.1	408349749	408662986	minus	21		
3040969	Petaurus breviceps papuanus	138144761	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_027187322.1	378122	392006	minus	21		
39617	Aphelocoma coerulescens	138100275	0	live	NXF1		nuclear RNA export factor 1	LOW QUALITY PROTEIN: nuclear RNA export factor 1		31	NC_091044.1	1993138	2013631	minus	21		
34865	Capricornis sumatraensis	138082973	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		8	NC_091076.1	9884715	9896219	plus	20		
8801	Struthio camelus	138063708	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		35	NC_090976.1	569495	576206	plus	21		
28680	Anas acuta	137848797	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_027075987.1	30832	36401	plus	21		
9764	Eschrichtius robustus	137771677	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		11	NC_090834.1	105329048	105342978	minus	22		
752182	Hyperolius riggenbachi	137538460	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		11	NC_090656.1	159382055	159541336	minus	22		
7769	Myxine glutinosa	137426506	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		5	NC_090426.1	10700835	10784482	minus	19		
82174	Pseudorca crassidens	137230082	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		9	NC_090304.1	9266387	9278384	plus	21		
1129001	Emydura macquarii macquarii	137150147	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_027131105.1	4653514	4663536	plus	22		
84833	Molothrus aeneus	136570200	0	live	NXF1		nuclear RNA export factor 1	LOW QUALITY PROTEIN: nuclear RNA export factor 1		Un	NW_027098964.1	2199653	2210966	minus	14		
249018	Saccopteryx leptura	136388361	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		1	NC_089503.1	9974053	9988091	plus	21		
59482	Saccopteryx bilineata	136318826	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		1	NC_089490.1	398074370	398088784	minus	21		
9886	Muntiacus reevesi	136169650	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		5	NC_089253.1	39062371	39074145	minus	21		
9742	Phocoena phocoena	136127511	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		8	NC_089226.1	101158076	101169665	minus	21		
678569	Lathamus discolor	136006710	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_027069379.1	95068	103436	plus	21		
187106	Caloenas nicobarica	136000371	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		32	NC_088276.1	417027	429204	plus	21		
82168	Emys orbicularis	135881000	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		7	NC_088689.1	97844234	97854081	plus	21		
257770	Zonotrichia leucophrys gambelii	135460350	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_026992239.1	910791	915195	plus	6		
9209	Phalacrocorax carbo	135310250	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		32	NC_087544.1	350513	359223	plus	21		
495146	Pseudophryne corroboree	134969212	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		11	NC_086454.1	155706395	155848178	minus	22		
191477	Pelobates fuscus	134579556	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		12	NC_086328.1	82306795	82339443	minus	21		
1192867	Chroicocephalus ridibundus	134508090	0	live	NXF1		nuclear RNA export factor 1	LOW QUALITY PROTEIN: nuclear RNA export factor 1		31	NC_086314.1	121037	130245	minus	20		
51853	Candoia aspera	134506823	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		17	NC_086169.1	4530178	4552358	plus	21		
159646	Elgaria multicarinata webbii	134412210	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		21	NC_086191.1	11400108	11419334	plus	21		
110931	Cynocephalus volans	134375565	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		4	NC_084463.1	158152655	158163150	minus	21		
407982	Pezoporus occidentalis	134174257	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_026915940.1	2459	14183	plus	21		
8795	Rhea pennata	134153068	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		38	NC_084700.1	205117	210973	plus	21		
9983	Lepus europaeus	133762938	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		7	NC_084833.1	8502058	8512789	plus	21		
261503	Rhineura floridana	133374572	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		22	NC_084501.1	19921899	19941921	plus	21		
7753	Lethenteron reissneri	133341347	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		11	NC_083789.1	6201962	6223799	plus	20		
889875	Pezoporus flaviventris	133263420	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_026892864.1	50113	61083	minus	21		
9906	Bos javanicus	133241339	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		29	NC_083896.1	41567170	41578658	minus	21		
309878	Neopsephotus bourkii	133207492	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_026900729.1	118882	130219	minus	21		
27606	Eubalaena glacialis	133098773	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		10	NC_083725.1	113410133	113422738	minus	21		
30532	Dama dama	133072278	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		2	NC_083682.1	9651157	9662833	plus	21		
38937	Anolis sagrei	132764304	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		12	NC_090032.1	12333046	12373409	minus	21		
9690	Panthera onca	132661898	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		13	NC_083307.1	97739941	97748958	plus	20		
13085	Heteronotia binoei	132582687	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		1	NC_083223.1	258717930	258744771	plus	21		
27610	Lagenorhynchus albirostris	132525711	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		9	NC_083103.1	8962132	8975379	plus	22		
48708	Mesoplodon densirostris	132492980	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		7	NC_082667.1	9701767	9714249	plus	21		
9728	Delphinus delphis	132430000	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		8	NC_082690.1	101531682	101543658	minus	21		
2746895	Balaenoptera ricei	132370888	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		8	NC_082646.1	105171707	105185939	minus	22		
98922	Myotis daubentonii	132241517	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		9	NC_081848.1	82904573	82915048	plus	21		
77151	Mustela nigripes	132019855	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		1	NC_081557.1	8607126	8617648	plus	21		
42410	Peromyscus eremicus	131909653	0	live	Nxf1		nuclear RNA export factor 1	nuclear RNA export factor 1		1	NC_081416.1	52114274	52129608	minus	22		
9666	Mustela lutreola	131814149	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		1	NC_081290.1	281392270	281402763	minus	21		
27615	Kogia breviceps	131760147	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		7	NC_081316.1	13813984	13826097	minus	21		
2857398	Ammospiza caudacuta	131570072	0	live	NXF1		nuclear RNA export factor 1	LOW QUALITY PROTEIN: nuclear RNA export factor 1		32	NC_080624.1	4448039	4477628	minus	20		
61452	Neofelis nebulosa	131488034	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		10	NC_080791.1	106495138	106505663	minus	21		
77932	Diceros bicornis minor	131394925	0	live	NXF1		nuclear RNA export factor 1	LOW QUALITY PROTEIN: nuclear RNA export factor 1		31	NC_080770.1	10344376	10354156	plus	21		
499056	Ahaetulla prasina	131186494	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		17	NC_080555.1	4984449	5005776	plus	22		
269649	Chionomys nivalis	130879364	0	live	Nxf1		nuclear RNA export factor 1	nuclear RNA export factor 1		8	NC_080093.1	47430061	47445821	minus	21		
575201	Hippopotamus amphibius kiboko	130848938	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		3	NC_080188.1	123264275	123276685	minus	21		
35540	Pezoporus wallicus	130594392	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_026636418.1	10319	19859	minus	21		
460621	Euleptes europaea	130480299	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		7	NC_079318.1	87044027	87073515	plus	21		
327740	Hyla sarda	130277163	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		6	NC_079194.1	285049004	285118345	minus	21		
62283	Sorex fumeus	130039762	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_026606150.1	2264667	2366824	minus	22		
48139	Psammomys obesus	129681680	0	live	Nxf1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_026592510.1	26306741	26320616	minus	21		
3119969	Bubalus kerabau	129652404	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		5	NC_073628.1	9902659	10062917	plus	22		
68408	Moschus berezovskii	129548844	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_026572483.1	9631880	9644217	plus	21		
34880	Nyctereutes procyonoides	129499670	0	live	NXF1	NYPRO_LOCUS2964	nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_026575025.1	13203023	13213825	plus	21		
9590	Symphalangus syndactylus	129488144	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		1	NC_072423.2	91409963	91424477	minus	21		
481883	Eublepharis macularius	129338668	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		1	NC_072790.1	233384403	233407842	plus	21		
9117	Grus americana	129198753	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		35	NC_072886.1	521273	532202	plus	21		
1884717	Pteronotus mesoamericanus	129068634	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_026555089.1	6608138	6618356	plus	21		
9600	Pongo pygmaeus	129008316	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		9	NC_072382.2	11965022	11980184	plus	23		
75485	Rissa tridactyla	128901819	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		29	NC_071494.1	296752	302997	minus	13		
2991368	Malaclemys terrapin pileata	128840750	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		7	NC_071511.1	33586130	33595825	minus	21		
81927	Vidua chalybeata	128801912	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		32	NC_071561.1	159144	174022	plus	21		
9470	Nycticebus coucang	128565631	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		14	NC_069793.1	10552238	10567271	plus	21		
233779	Spea bombifrons	128467028	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		10	NC_071096.1	20793616	20828642	minus	22		
65483	Podarcis raffonei	128403301	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		16	NC_070617.1	11614415	11632442	plus	21		
884348	Hemicordylus capensis	128337089	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		14	NC_069670.1	10988705	11005307	minus	21		
564181	Peromyscus californicus insignis	128094979	0	live	Nxf1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_026294562.1	52689982	52704479	minus	21		
37181	Budorcas taxicolor	128069052	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		25	NC_068934.1	41763110	41774791	minus	21		
10129	Apodemus sylvaticus	127691041	0	live	Nxf1		nuclear RNA export factor 1	nuclear RNA export factor 1		1	NC_067472.1	54717218	54731204	minus	21		
38775	Antechinus flavipes	127541050	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		6	NC_067403.1	254051204	254064618	minus	22		
109678	Phodopus roborovskii	127228808	0	live	Nxf1	PHOROB_LOCUS10408	nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_026126480.1	56808659	56822289	plus	21		
60746	Acomys russatus	127189323	0	live	Nxf1		nuclear RNA export factor 1	nuclear RNA export factor 1		5	NC_067141.1	30315661	30332047	plus	21		
286002	Gopherus flavomarginatus	127054362	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		6	NC_066622.1	33825658	33960706	minus	24		
257877	Macaca thibetana thibetana	126935466	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		14	NC_065591.1	11200355	11214856	plus	21		
100897	Alexandromys fortis	126498940	0	live	Nxf1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_026067909.1	17986184	18000915	plus	21		
99487	Elephas maximus indicus	126080958	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		7	NC_064825.1	125946642	125957540	minus	21		
8957	Astur gentilis	126053409	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		33	NC_064912.1	380179	388766	plus	21		
109475	Suncus etruscus	126017919	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		9	NC_064856.1	107014457	107026412	minus	21		
29064	Panthera uncia	125931913	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		D1	NC_064808.1	7976822	7987406	plus	21		
8467	Caretta caretta	125639395	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		7	NC_064479.1	33713837	33723928	minus	21		
933632	Sphaerodactylus townsendi	125441674	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		LG01	NC_059425.1	19083975	19112774	minus	21		
447135	Myodes glareolus	125415922	0	live	Nxf1		nuclear RNA export factor 1	nuclear RNA export factor 1		Un	NW_025965302.1	2419535	2433507	minus	21		
214514	Perognathus longimembris pacificus	125362107	0	live	Nxf1		nuclear RNA export factor 1	nuclear RNA export factor 1		13	NC_063173.1	56125428	56138700	minus	21		
61388	Prionailurus viverrinus	125175972	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		D1	NC_062570.1	109854961	109865654	plus	21		
41426	Phacochoerus africanus	125125046	0	live	NXF1		nuclear RNA export factor 1	nuclear RNA export factor 1		4	NC_062547.1	8971638	8983652	plus	22		
